x,y,label
-6.4556594,-6.4556594,Into the Unknown: Making Frozen 2
30.46386,30.46386,Tarzan II
4.693538,4.693538,Noelle
-2.1009498,-2.1009498,Invincible
9.0278425,9.0278425,G-Force
-10.902178,-10.902178,Black Is King
11.507425,11.507425,Valiant
-0.97557735,-0.97557735,Heavyweights
-8.509466,-8.509466,Dumbo
-28.589018,-28.589018,Ice Princess
106.93147,106.93147,Cool Runnings
10.568506,10.568506,Agent Carter
-31.477444,-31.477444,The Black Cauldron
24.743093,24.743093,How to Swim
2.1220384,2.1220384,Lady and the Tramp II: Scamp's Adventure
-21.857847,-21.857847,Phineas and Ferb the Movie: Across the 2nd Dimension
-6.7895365,-6.7895365,"Honey, I Blew Up the Kid"
-33.22118,-33.22118,Kick Buttowski: Suburban Daredevil
-3.174076,-3.174076,PJ Masks (Shorts)
4.0606055,4.0606055,The Muppets
-1.3232566,-1.3232566,Vampirina Ghoul Girls Rock!
22.765944,22.765944,101 Dalmatian Street
-20.56784,-20.56784,The Emperor's New School
15.785141,15.785141,Aladdin and the King of Thieves
-13.355485,-13.355485,Spider-Man Unlimited
0.2631618,0.2631618,Partly Cloudy
-21.320595,-21.320595,Jungle 2 Jungle
-18.545649,-18.545649,Star Wars Vintage: Clone Wars 2D Micro-Series
26.246243,26.246243,Christopher Robin
-0.78155136,-0.78155136,Walk the Prank
-19.737509,-19.737509,The Rocketeer
15.584346,15.584346,Cloud 9
-25.34481,-25.34481,LEGO Star Wars: Droid Tales
-19.501413,-19.501413,Blank Check
-8.704596,-8.704596,Pair of Kings
2.6881151,2.6881151,Pluto's Christmas Tree
-5.68908,-5.68908,Clouds
28.23155,28.23155,The Tigger Movie
-10.16025,-10.16025,I Didn't Do It
-17.76206,-17.76206,Teen Beach 2
-1.1053579,-1.1053579,Black Beauty
-13.609188,-13.609188,The Fox and the Hound 2
2.4100566,2.4100566,The Santa Clause 3: The Escape Clause
13.819874,13.819874,Tangled: The Series - Short Cuts
6.012763,6.012763,The One and Only Ivan
14.4619,14.4619,Darkwing Duck
-5.1717286,-5.1717286,D3: The Mighty Ducks
-5.9880247,-5.9880247,The Incredible Hulk
5.6415687,5.6415687,Santa Paws 2: The Santa Pups
26.129822,26.129822,The Book of Pooh
-3.491049,-3.491049,Secretariat
-9.920594,-9.920594,Violetta
-21.369387,-21.369387,Phineas and Ferb: Star Wars
20.325377,20.325377,Mr. Boogedy
1.7729949,1.7729949,The Muppet Movie
1.3084134,1.3084134,The Great Mouse Detective
-25.368671,-25.368671,LEGO Star Wars: The Freemaker Adventures
-12.228962,-12.228962,Myth: A Frozen Tale
-13.83838,-13.83838,Spider-Man (Shorts)
29.504818,29.504818,Chef Donald
27.207226,27.207226,My Friends Tigger & Pooh
6.344543,6.344543,Atlantis: Milo's Return
1.9057227,1.9057227,Fancy Nancy: Fancy it Yourself (Shorts)
27.403316,27.403316,Piglet's Big Movie
8.583946,8.583946,Bambi II
-10.123838,-10.123838,Soy Luna
-4.607634,-4.607634,Miracle
29.42273,29.42273,Corn Chips
-13.687995,-13.687995,Annie
-9.353138,-9.353138,Inspector Gadget
-19.58148,-19.58148,The Wizards Return: Alex vs. Alex
2.2686253,2.2686253,Togo
0.96050245,0.96050245,Swiss Family Robinson
21.851852,21.851852,The Rookie
-3.2338963,-3.2338963,Even Stevens
35.61744,35.61744,The Jungle Book 2
2.749668,2.749668,Mickey's Christmas Carol
0.4329889,0.4329889,Fantasia 2000
1.0563225,1.0563225,The Little Whirlwind
-25.48539,-25.48539,Sonny With A Chance
-0.6214759,-0.6214759,Disney Family Sundays
-24.8967,-24.8967,So Weird
-5.3766317,-5.3766317,folklore: the long pond studio sessions
4.062127,4.062127,Muppets Most Wanted
-9.3762865,-9.3762865,Adventures in Babysitting
26.582664,26.582664,Pooh's Grand Adventure: The Search for Christopher Robin
-2.581794,-2.581794,Bedknobs and Broomsticks
-2.0090775,-2.0090775,Marvel Funko Shorts
32.661785,32.661785,DuckTales The Movie: Treasure of the Lost Lamp
-5.0247345,-5.0247345,Hulk and the Agents of S.M.A.S.H.
1.2220987,1.2220987,The Band Concert
31.258575,31.258575,Beauty and the Beast: The Enchanted Christmas
-16.807228,-16.807228,College Road Trip
-19.73718,-19.73718,The Rocketeer
-7.190678,-7.190678,The Super Hero Squad
-10.396256,-10.396256,Cadet Kelly
-5.416306,-5.416306,Zenon: Girl of the 21st Century
3.5329144,3.5329144,Lend a Paw
5.4562407,5.4562407,The Nutcracker and the Four Realms
10.341637,10.341637,Prep & Landing
52.92717,52.92717,Saving Mr. Banks
-6.192759,-6.192759,Prop Culture
-1.758132,-1.758132,Brave Little Toaster to the Rescue
-16.119156,-16.119156,Smart House
4.683856,4.683856,Arendelle Castle Yule Log
115.749176,115.749176,The Three Musketeers
-15.569791,-15.569791,Gabby Duran And The Unsittables
-9.935105,-9.935105,Cars Toon: Spinning
2.0415738,2.0415738,Muppet Treasure Island
21.09026,21.09026,Cars Toons: Bugged
-24.765722,-24.765722,Guardians of the Galaxy (Series)
-2.5279856,-2.5279856,Presto
-1.0510231,-1.0510231,Pixar In Real Life
0.40289006,0.40289006,Destino
-13.869821,-13.869821,Freaky Friday
-6.8329163,-6.8329163,"Honey, We Shrunk Ourselves"
-12.361795,-12.361795,Geek Charming
-9.552682,-9.552682,"Good Luck Charlie, It's Christmas!"
-15.277027,-15.277027,Inhumans
19.002096,19.002096,Miles From Tomorrowland
-11.508714,-11.508714,Iron Man Armored Adventures
94.06801,94.06801,Saludos Amigos
2.6119246,2.6119246,Chip an' Dale
-12.294353,-12.294353,Glory Road
-9.93918,-9.93918,Just Roll With It
-17.266844,-17.266844,Tron
-2.282549,-2.282549,Luxo Jr.
11.124231,11.124231,Old Yeller
-19.713001,-19.713001,Tuck Everlasting
10.403365,10.403365,Prep & Landing: Naughty vs. Nice
-12.495503,-12.495503,Smart Guy
5.7882705,5.7882705,Timon & Pumbaa
-23.535511,-23.535511,LEGO Star Wars: All Stars (Shorts)
-7.85012,-7.85012,Escape to Witch Mountain
-6.58843,-6.58843,Iron Man (Series)
73.31304,73.31304,Disney's A Christmas Carol
12.609785,12.609785,Boat Builders
-18.962875,-18.962875,Stargirl
-4.191517,-4.191517,Marvel's Ultimate Comics
-14.655598,-14.655598,The Cheetah Girls: One World
123.98871,123.98871,Pete's Dragon
6.026246,6.026246,Donald's Golf Game
-8.409907,-8.409907,Jump In!
-10.306258,-10.306258,Kim Possible
-10.679897,-10.679897,Runaways
-10.304409,-10.304409,X-Men: Evolution
-17.211922,-17.211922,Kim Possible Movie: So the Drama
-6.543205,-6.543205,Iron Man & Hulk: Heroes United
1.8016132,1.8016132,Trailer Horn
5.12771,5.12771,Timmy Failure: Mistakes Were Made
